City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.83,78,100,15.49,TF,1698693503
1,kuanda,56.3161,116.0806,-10.78,51,12,0.21,RU,1698693503
2,tura,25.5198,90.2201,20.18,87,100,1.52,IN,1698693504
3,edinburgh of the seven seas,-37.0676,-12.3116,12.09,90,100,14.09,SH,1698693504
4,stanley,54.868,-1.6985,6.77,93,75,3.09,GB,1698693504
5,bethel,41.3712,-73.414,13.3,89,100,1.54,US,1698693334
6,west island,-12.1568,96.8225,25.99,83,100,6.69,CC,1698693504
7,yellowknife,62.456,-114.3525,-0.88,88,75,6.17,CA,1698693505
8,aasiaat,68.7098,-52.8699,-3.59,77,3,8.86,GL,1698693505
9,talcahuano,-36.7167,-73.1167,12.82,58,40,7.2,CL,1698693505
10,hamilton,39.1834,-84.5333,8.74,84,100,6.69,US,1698693332
11,hoemul-li,41.4339,129.67,11.99,69,0,1.57,KP,1698693506
12,karkira,36.9292,6.5856,19.4,80,90,1.69,DZ,1698693506
13,waitangi,-43.9535,-176.5597,13.79,84,79,4.92,NZ,1698693506
14,muroto-misakicho,33.2833,134.15,17.8,62,88,2.36,JP,1698693506
15,thompson,55.7435,-97.8558,-5.91,68,100,6.69,CA,1698693507
16,afaahiti,-17.75,-149.2833,27.93,83,49,7.71,PF,1698693507
17,papatowai,-46.5619,169.4708,8.85,90,100,0.59,NZ,1698693507
18,santiago de cao,-7.9589,-79.2392,20.07,83,100,5.14,PE,1698693507
19,cabo san lucas,22.8909,-109.9124,30.9,62,0,4.12,MX,1698693007
20,adamstown,-25.066,-130.1015,22.58,76,100,4.54,PN,1698693508
21,antsiranana,-12.2787,49.2917,25.11,82,100,6.72,MG,1698693508
22,dakhla,23.6848,-15.958,21.35,81,0,4.66,EH,1698693508
23,obihiro,42.9172,143.2044,5.53,91,6,0.82,JP,1698693509
24,grytviken,-54.2811,-36.5092,5.81,73,1,4.49,GS,1698693509
25,alicante,38.3452,-0.4815,21.34,39,0,8.75,ES,1698693509
26,oak harbor,48.2932,-122.6432,11.23,73,20,2.57,US,1698693347
27,nar'yan-mar,67.6713,53.087,-6.61,94,100,6.71,RU,1698693511
28,giado,31.9582,12.0203,24.85,17,7,4.81,LY,1698693511
29,blackmans bay,-43.0167,147.3167,7.51,71,5,0.89,AU,1698693511
30,el calafate,-50.3408,-72.2768,4.63,65,41,1.22,AR,1698693511
31,port elizabeth,-33.918,25.5701,16.16,76,0,8.23,ZA,1698693511
32,sinabang,2.4803,96.3801,25.53,88,100,2.31,ID,1698693512
33,port mathurin,-19.6833,63.4167,24.87,81,7,8.0,MU,1698693512
34,battagram,34.6772,73.0233,16.3,42,0,2.28,PK,1698693512
35,iskateley,67.6803,53.1512,-6.66,94,100,6.71,RU,1698693512
36,kijang,35.2442,129.2139,9.85,62,0,1.65,KR,1698693513
37,margaret river,-33.95,115.0667,9.06,89,4,4.39,AU,1698693513
38,sassandra,4.95,-6.0833,26.09,85,0,3.05,CI,1698693513
39,kohima,25.6667,94.1167,13.68,88,22,1.45,IN,1698693513
40,arauca,7.0847,-70.7591,33.8,49,34,1.56,CO,1698693514
41,puerto natales,-51.7236,-72.4875,7.25,39,0,1.54,CL,1698693514
42,joaima,-16.6542,-41.0306,35.7,27,100,3.29,BR,1698693514
43,ribeira grande,38.5167,-28.7,19.32,77,40,6.71,PT,1698693514
44,punta arenas,-53.15,-70.9167,8.01,49,40,5.66,CL,1698693515
45,ugoofaaru,5.6667,73.0,27.55,75,100,2.69,MV,1698693515
46,mersa matruh,31.3525,27.2453,23.56,74,100,4.12,EG,1698693515
47,senanga,-16.1167,23.2667,23.77,52,52,2.9,ZM,1698693515
48,bredasdorp,-34.5322,20.0403,14.85,73,0,9.27,ZA,1698693516
49,masuguru,-11.3667,38.4167,28.15,55,97,4.31,TZ,1698693516
50,peringat,6.0333,102.2833,24.97,100,20,0.51,MY,1698693516
51,dudinka,69.4058,86.1778,-16.85,97,100,0.89,RU,1698693516
52,albany,42.6001,-73.9662,9.8,90,100,0.45,US,1698693279
53,lompoc,34.6391,-120.4579,26.5,16,0,0.89,US,1698693517
54,ushuaia,-54.8,-68.3,4.81,65,75,9.77,AR,1698693517
55,urangan,-25.3,152.9,21.02,71,5,5.74,AU,1698693518
56,al jahra',29.3375,47.6581,28.12,38,79,3.23,KW,1698693518
57,salima,-13.7804,34.4587,26.25,63,17,7.16,MW,1698693518
58,oakdale,44.963,-92.9649,3.06,61,75,5.66,US,1698693518
